630,"Alexandria or Egypt, Syria, Constantinople (?)"
631,"Egypt, possibly Panopolis (Akhmim)"
632,"Egypt, Tinnis"
633,"excavated at al-Humayma, Jordan"
634,"Egypt, probably Bahnasa"
635,"Egypt, the Fayyum, probably Tutun"
636,"Israel, Tiberias"
637,"Iraq, found at Takrit"
638,Iraq or Egypt
639,"Syria, Raqqa"
640,"excavated at al-Fudayn (Mafraq), Jordan"
641,"Syria, Damascus"
642,"Egypt, from the Mosque of Ibn Tulun, Cairo"
643,"Egypt, White Monastery"
644,"excavated Church of the Archangel Michael, Bawit"
645,"Jordan, Qasr al-Mshatta"
646,"excavated at  Aqaba, Jordan"
647,"Jordan, Gerasa (Jerash)"
648,excavated ‘Ayn as-Sawda (Azraq al Shishan)
649,"excavated at the Amman Citadel, Jordan"
650,"exacavated at Umm al-Walid, Jordan"
651,"Israel, found at Naanah"
652,"Israel, found at Ashkelon"
653,"Jordan, ecavated at Khirbat al-Mukhayyat"
654,"excavated Dayr 'Ayn 'Abata, Jordan"
655,"excavated at Umm al-Walid, Jordan"
656,"Jordan, Gerasa (Jordan)"
657,"excavated Church of Saints Peter & Paul, Gerasa"
658,Germany or England
659,possibly Hungary
660,Eastern Mediterranean or Central Asia
661,"Tunisia, excavated Hammam Lif Synagogue"
662,Syria or Byzantine Palestine
663,Antioch
664,Possibly Egypt
665,Possibly Eastern Mediterranean
666,"Iran, Iraq, or Syria"
667,"Jordan, Qasr al-Qastal"
668,Probably Syria
669,Early Islamic Palestine
670,"Egypt, excavated at Bawit"
671,Caesarea
672,Alexandria
673,Jerusalem
674,"Emesa (?), Syria"
675,Probably Caesarea
676,Probably northern Syria
677,Syria/Palestine
678,Probably Palestine
679,Probably northern Palestine
680,Damascus
681,Tiberias
682,Gerasa (Jerash)
683,Amman (?)
684,Amman
685,Fustat (part of present-day Cairo)
686,"Alexandria (?), Panopolis (Akhmim) (?)"
687,Uncertain mint
688,Probably Damascus
689,"Egypt, sent from Alexandria"
690,present-day Poland
691,"Egypt or Palestine (?), from the Cairo Genizah"
692,"Egypt, from the Cairo Genizah"
693,Darabjird
694,Scandinavia (possibly Sweden)
695,France or Southern Netherlands
696,Crete ?
697,United States of America
698,America
699,United Kingdom
700,U.S.A.
701,UK
702,US
703,"South Africa, Africa"
704,Italy and United States
705,United Kingdom?
706,China or Mongolia
707,Tibet
708,China or Japan
709,Korea
710,Myanmar (formerly Burma)
711,Thailand
712,Thailand and Myanmar (formerly Burma)
713,Croatia
714,Spain or Yugoslavia
715,Ghana or Nigeria
716,Borneo or China?
717,United States or Mexico: N.A.
718,Venezuela:N.A.
719,United States: N.A.
720,Germany?
721,United States?
722,Iran (Persia)
723,Russia Federation
724,Russian Federation
725,"Georgia, Republic of  [Azerbaijan, Armenia]"
726,Georgia
727,"Azerbaijan, Armenia or Georgia"
728,Arabia|Iran
729,Montenegro?  Yugoslavia (former)
730,Morocco?
731,Turkey? (old cat. Arabia)
732,Arabia
733,India?
734,Syria?
735,Arabian Peninsula
736,Syria?  Saudia Arabia
737,Sudan?
738,Algeria or Morocco
739,"Egypt, Bulgaria or Turkey?"
740,Bulgaria|Egypt
741,Egypt?
742,Bulgaria?
743,former Yugoslavia
744,Democratic Republic of the Congo?
745,possibly Dem. Rep. of Congo
746,Congo
747,Mozambique
748,Senegal or Gambia
749,Congo?
750,Benin or Gabon
751,Benin
752,Algeria?
753,probably South Africa
754,Spain?
755,probably Ethiopia
756,Republic of Cameroon
757,Canada: N.A.
758,Mexico?
759,possibly Guyana
760,Costa Rica?
761,Belgium?
762,Guyana
763,Brazil: N.A.
764,United States or Brazil
765,Brazil?
766,Colombia|Ecuador
767,New Zealand?
768,New Guinea (Phillipine?)
769,Borneo
770,Marshall Islands
771,Possibly Sarawak
772,Sarawak
773,Italy or France
774,former Yugoslavia(?)
775,Romania?
776,France?
777,Switzerland?
778,United Kingdom or Germany
779,Slovakia
780,"Germany, France, or Bohemia"
781,United States or Germany ?
782,Greece?
783,Austria or Germany
784,Finland
785,Portugal?
786,Netherlands?
787,Friesland
788,possibly Germany
789,Italian?
790,possibly Madagascar
791,Probably Sierra Leone
792,Cameroon?
793,Republic of Cameroon or Southeast Nigeria
794,Sierra Leone?
795,Germany or Switzerland
796,Arabia or North Africa
797,Uganda or Kenya
798,Republic of Cameroon or Gabon?
799,Italy or Germany?
